cluster,container,cpu,id,image,instance,job,name,namespace,pod,timestamp,value
aks-sk-aks-eus2-dev,order-service,total,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod506b125f_2d59_4dde_81cb_bd946a55e435.slice/cri-containerd-580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c.scope,ghcr.io/azure-samples/aks-store-demo/order-service:latest,aks-agentpool-16759353-vmss000007,cadvisor,580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c,azure-store,order-service-5b6fbf9bcc-kzfc9,1746676800,0.00000010980033932568047
aks-sk-aks-eus2-dev,order-service,total,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod506b125f_2d59_4dde_81cb_bd946a55e435.slice/cri-containerd-580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c.scope,ghcr.io/azure-samples/aks-store-demo/order-service:latest,aks-agentpool-16759353-vmss000007,cadvisor,580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c,azure-store,order-service-5b6fbf9bcc-kzfc9,1746680400,0.00000010980033932568047
aks-sk-aks-eus2-dev,order-service,total,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod506b125f_2d59_4dde_81cb_bd946a55e435.slice/cri-containerd-580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c.scope,ghcr.io/azure-samples/aks-store-demo/order-service:latest,aks-agentpool-16759353-vmss000007,cadvisor,580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c,azure-store,order-service-5b6fbf9bcc-kzfc9,1746684000,0.00000010980033932568047
aks-sk-aks-eus2-dev,order-service,total,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod506b125f_2d59_4dde_81cb_bd946a55e435.slice/cri-containerd-580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c.scope,ghcr.io/azure-samples/aks-store-demo/order-service:latest,aks-agentpool-16759353-vmss000007,cadvisor,580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c,azure-store,order-service-5b6fbf9bcc-kzfc9,1746687600,0.00000010980033932568047
aks-sk-aks-eus2-dev,order-service,total,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod506b125f_2d59_4dde_81cb_bd946a55e435.slice/cri-containerd-580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c.scope,ghcr.io/azure-samples/aks-store-demo/order-service:latest,aks-agentpool-16759353-vmss000007,cadvisor,580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c,azure-store,order-service-5b6fbf9bcc-kzfc9,1746691200,0.00000010980033932568047
aks-sk-aks-eus2-dev,order-service,total,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod506b125f_2d59_4dde_81cb_bd946a55e435.slice/cri-containerd-580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c.scope,ghcr.io/azure-samples/aks-store-demo/order-service:latest,aks-agentpool-16759353-vmss000007,cadvisor,580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c,azure-store,order-service-5b6fbf9bcc-kzfc9,1746694800,0.00000010980033932568047
aks-sk-aks-eus2-dev,order-service,total,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod506b125f_2d59_4dde_81cb_bd946a55e435.slice/cri-containerd-580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c.scope,ghcr.io/azure-samples/aks-store-demo/order-service:latest,aks-agentpool-16759353-vmss000007,cadvisor,580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c,azure-store,order-service-5b6fbf9bcc-kzfc9,1746698400,0.00000010980033932568047
aks-sk-aks-eus2-dev,order-service,total,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod506b125f_2d59_4dde_81cb_bd946a55e435.slice/cri-containerd-580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c.scope,ghcr.io/azure-samples/aks-store-demo/order-service:latest,aks-agentpool-16759353-vmss000007,cadvisor,580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c,azure-store,order-service-5b6fbf9bcc-kzfc9,1746702000,0.00000010980033932568047
aks-sk-aks-eus2-dev,order-service,total,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod506b125f_2d59_4dde_81cb_bd946a55e435.slice/cri-containerd-580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c.scope,ghcr.io/azure-samples/aks-store-demo/order-service:latest,aks-agentpool-16759353-vmss000007,cadvisor,580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c,azure-store,order-service-5b6fbf9bcc-kzfc9,1746705600,0.00000010980033932568047
aks-sk-aks-eus2-dev,order-service,total,/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod506b125f_2d59_4dde_81cb_bd946a55e435.slice/cri-containerd-580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c.scope,ghcr.io/azure-samples/aks-store-demo/order-service:latest,aks-agentpool-16759353-vmss000007,cadvisor,580228e449c23b1d68926d23b2c19630944823db6ff7c8cad62617e153cc2a3c,azure-store,order-service-5b6fbf9bcc-kzfc9,1746709200,0.00000010980033932568047
